,movie,Duration,year,rating,metascore,Director1,Director2
0,The Dark Knight,152,2008,9.0,84.0,Christopher Nolan,
1,The Lord of the Rings: The Return of the King,201,2003,9.0,94.0,Peter Jackson,
2,Inception,148,2010,8.8,74.0,Christopher Nolan,
3,The Lord of the Rings: The Fellowship of the Ring,178,2001,8.8,92.0,Peter Jackson,
4,The Lord of the Rings: The Two Towers,179,2002,8.8,87.0,Peter Jackson,
5,The Matrix,136,1999,8.7,73.0,Lana Wachowski,Lilly Wachowski
6,Star Wars: Episode V - The Empire Strikes Back,124,1980,8.7,82.0,Irvin Kershner,
7,Soorarai Pottru,153,2020,8.7,,Sudha Kongara,
8,Star Wars,121,1977,8.6,90.0,George Lucas,
9,Terminator 2: Judgment Day,137,1991,8.6,75.0,James Cameron,
10,Shichinin no samurai,207,1954,8.6,98.0,Akira Kurosawa,
11,Seppuku,133,1962,8.6,85.0,Masaki Kobayashi,
12,Sita Ramam,163,2022,8.6,,Hanu Raghavapudi,
13,Léon,110,1994,8.5,64.0,Luc Besson,
14,Gladiator,155,2000,8.5,67.0,Ridley Scott,
15,Spider-Man: Into the Spider-Verse,117,2018,8.4,87.0,Bob Persichetti,"Peter Ramsey,Rodney Rothman"
16,Avengers: Endgame,181,2019,8.4,78.0,Anthony Russo,Joe Russo
17,Raiders of the Lost Ark,115,1981,8.4,85.0,Steven Spielberg,
18,Avengers: Infinity War,149,2018,8.4,68.0,Anthony Russo,Joe Russo
19,Oldeuboi,101,2003,8.4,77.0,Park Chan-wook,
20,The Dark Knight Rises,164,2012,8.4,78.0,Christopher Nolan,
21,Aliens,137,1986,8.4,84.0,James Cameron,
22,Kaithi,145,2019,8.4,,Lokesh Kanagaraj,
23,Asuran,141,2019,8.4,,Vetrimaaran,
24,Top Gun: Maverick,130,2022,8.3,78.0,Joseph Kosinski,
25,Heat,170,1995,8.3,76.0,Michael Mann,
26,Star Wars: Episode VI - Return of the Jedi,131,1983,8.3,58.0,Richard Marquand,
27,Mononoke-hime,134,1997,8.3,76.0,Hayao Miyazaki,
28,North by Northwest,136,1959,8.3,98.0,Alfred Hitchcock,
29,Kantara,148,2022,8.3,,Rishab Shetty,
30,Dangal,161,2016,8.3,,Nitesh Tiwari,
31,K.G.F: Chapter 2,168,2022,8.3,,Prashanth Neel,
32,Vikram,175,2022,8.3,,Lokesh Kanagaraj,
33,Ratsasan,170,2018,8.3,,Ram Kumar,
34,Shershaah,135,2021,8.3,,Vishnuvardhan,
35,Guardians of the Galaxy Vol. 3,150,2023,8.2,64.0,James Gunn,
36,Spider-Man: No Way Home,148,2021,8.2,71.0,Jon Watts,
37,Jurassic Park,127,1993,8.2,68.0,Steven Spielberg,
38,Indiana Jones and the Last Crusade,127,1989,8.2,65.0,Steven Spielberg,
39,1917,119,2019,8.2,78.0,Sam Mendes,
40,Kill Bill: Vol. 1,111,2003,8.2,69.0,Quentin Tarantino,
41,Batman Begins,140,2005,8.2,70.0,Christopher Nolan,
42,Die Hard,132,1988,8.2,72.0,John McTiernan,
43,V for Vendetta,132,2005,8.2,62.0,James McTeigue,
44,Kimetsu no Yaiba: Mugen Ressha-Hen,117,2020,8.2,72.0,Haruo Sotozaki,
45,Ran,162,1985,8.2,97.0,Akira Kurosawa,
46,Gangs of Wasseypur,321,2012,8.2,89.0,Anurag Kashyap,
47,Vikram Vedha,147,2017,8.2,,Gayatri,"Pushkar,Gowtham Selvaraj"
48,Baahubali 2: The Conclusion,167,2017,8.2,,S.S. Rajamouli,
49,Yôjinbô,110,1961,8.2,93.0,Akira Kurosawa,
50,Uri: The Surgical Strike,138,2019,8.2,,Aditya Dhar,
51,K.G.F: Chapter 1,156,2018,8.2,,Prashanth Neel,
