,movie,votes,gross_collection,popularity,Certification,star1,star2,star3,star4,genre1,genre2,genre3
0,The Dark Knight,2717546,534.86,1,UA,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Action,Crime,Drama
1,The Lord of the Rings: The Return of the King,1886664,377.85,2,U,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,Action,Adventure,Drama
2,Inception,2412357,292.58,3,UA,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,Action,Adventure,Sci-Fi
3,The Lord of the Rings: The Fellowship of the Ring,1915366,315.54,4,U,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,Action,Adventure,Drama
4,The Lord of the Rings: The Two Towers,1702937,342.55,5,UA,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,Action,Adventure,Drama
5,The Matrix,1957334,171.48,6,A,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Action,Sci-Fi,
6,Star Wars: Episode V - The Empire Strikes Back,1320784,290.48,7,UA,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Action,Adventure,Fantasy
7,Soorarai Pottru,119471,,8,U,Suriya,Paresh Rawal,Aparna Balamurali,Urvashi,Action,Drama,
8,Star Wars,1393251,322.74,9,U,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,Action,Adventure,Fantasy
9,Terminator 2: Judgment Day,1122780,204.84,10,A,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Action,Sci-Fi,
10,Shichinin no samurai,352755,0.27,11,U,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Action,Drama,
11,Seppuku,60945,,12,,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,Action,Drama,Mystery
12,Sita Ramam,59818,,13,U,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,Action,Drama,Mystery
13,Léon,1189081,19.5,14,A,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Action,Crime,Drama
14,Gladiator,1535795,187.71,15,UA,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Action,Adventure,Drama
15,Spider-Man: Into the Spider-Verse,564494,190.24,16,U,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Animation,Action,Adventure
16,Avengers: Endgame,1179444,858.37,17,UA,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Action,Adventure,Drama
17,Raiders of the Lost Ark,985963,248.16,18,A,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Action,Adventure,
18,Avengers: Infinity War,1122859,678.82,19,UA,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Action,Adventure,Sci-Fi
19,Oldeuboi,596212,0.71,20,A,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,Action,Drama,Mystery
20,The Dark Knight Rises,1741143,448.14,21,UA,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,Action,Drama,Thriller
21,Aliens,732357,85.16,22,U,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,Action,Adventure,Sci-Fi
22,Kaithi,36071,,23,UA,Karthi,Narain,Arjun Das,George Maryan,Action,Adventure,Crime
23,Asuran,31179,,24,UA,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,Action,Drama,
24,Top Gun: Maverick,588736,718.73,25,UA,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,Action,Drama,
25,Heat,675836,67.44,26,A,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Action,Crime,Drama
26,Star Wars: Episode VI - Return of the Jedi,1077321,309.13,27,U,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Action,Adventure,Fantasy
27,Mononoke-hime,406644,2.38,28,U,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,Animation,Action,Adventure
